,,,,,Children under 6 years with elevated blood lead levels (BLL) : Summarize
Topic: Health Behavior and Population
Subtopic: Childhood Lead Exposure
Indicator Name: Children under 6 years with elevated blood lead levels (BLL)
Indicator Description: There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems and delay growth and mental development.
Notes: *Estimate is based on small numbers so should be interpreted with caution.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number BLL >=10 µg/dL,Number BLL >=15 µg/dL,Number BLL >=5 µg/dL,Number Tested,"Rate BLL >=10 µg/dL (per 1,000 tested)","Rate BLL >=15 µg/dL (per 1,000 tested)","Rate BLL >=5 µg/dL (per 1,000 tested)",Notes Number BLL >=10 µg/dL,Notes Number BLL >=15 µg/dL,Notes Number BLL >=5 µg/dL,Notes Number Tested,Notes Rate BLL >=10 µg/dL,Notes Rate BLL >=15 µg/dL,Notes Rate BLL >=5 µg/dL,
2005,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"3,082","1,014","37,344","310,100",9.9,3.3,120.4,,,,,,,,
2006,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"2,767",928,"34,629","313,900",8.8,3.0,110.3,,,,,,,,
2007,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"2,282",745,"30,493","318,200",7.2,2.3,95.8,,,,,,,,
2008,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"1,803",612,"20,423","328,000",5.5,1.9,62.3,,,,,,,,
2009,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"1,565",565,"15,224","331,800",4.7,1.7,45.9,,,,,,,,
2010,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"1,574",566,"13,951","340,900",4.6,1.7,40.9,,,,,,,,
2011,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"1,332",447,"11,437","342,900",3.9,1.3,33.4,,,,,,,,
2012,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),"1,053",392,"8,179","328,600",3.2,1.2,24.9,,,,,,,,
2013,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),910,325,"7,204","322,900",2.8,1.0,22.3,,,,,,,,
2014,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),959,341,"6,550","314,500",3.0,1.1,20.8,,,,,,,,
2015,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),908,318,"5,371","311,300",2.9,1.0,17.3,,,,,,,,
2016,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),822,300,"4,928","299,000",2.7,1.0,16.5,,,,,,,,
2017,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),799,297,"4,261","293,300",2.7,1.0,14.5,,,,,,,,
2018,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),720,284,"3,866","284,200",2.5,1.0,13.6,,,,,,,,
2019,Citywide,New York City, New York City,1,Children under 6 years with elevated blood lead levels (BLL),630,259,"3,050","285,800",2.2,0.9,10.7,,,,,,,,
2005,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),595,167,"8,245","64,500",9.2,2.6,127.7,,,,,,,,
2006,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),474,144,"7,272","67,200",7.1,2.1,108.2,,,,,,,,
2007,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),438,135,"6,174","68,300",6.4,2.0,90.4,,,,,,,,
2008,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),292,105,"4,254","69,800",4.2,1.5,60.9,,,,,,,,
2009,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),278,103,"2,742","70,000",4.0,1.5,39.2,,,,,,,,
2010,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),290,101,"2,625","70,100",4.1,1.4,37.5,,,,,,,,
2011,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),231,75,"1,996","70,100",3.3,1.1,28.5,,,,,,,,
2012,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),184,81,"1,396","66,800",2.8,1.2,20.9,,,,,,,,
2013,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),193,74,"1,312","65,300",3.0,1.1,20.1,,,,,,,,
2014,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),177,68,"1,186","63,400",2.8,1.1,18.7,,,,,,,,
2015,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),155,61,971,"61,700",2.5,1.0,15.7,,,,,,,,
2016,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),162,71,884,"59,000",2.7,1.2,15.0,,,,,,,,
2017,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),159,67,752,"57,700",2.8,1.2,13.0,,,,,,,,
2018,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),128,60,634,"56,600",2.3,1.1,11.2,,,,,,,,
2019,Borough,Bronx, Bronx,1,Children under 6 years with elevated blood lead levels (BLL),129,55,564,"55,700",2.3,1.0,10.1,,,,,,,,
2005,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),"1,301",448,"15,015","106,800",12.2,4.2,140.6,,,,,,,,
2006,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),"1,230",412,"14,199","103,800",11.9,4.0,136.9,,,,,,,,
2007,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),"1,002",325,"12,622","104,500",9.6,3.1,120.7,,,,,,,,
2008,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),777,266,"8,288","108,300",7.2,2.5,76.6,,,,,,,,
2009,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),698,252,"6,719","111,900",6.2,2.3,60.0,,,,,,,,
2010,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),707,250,"6,182","117,500",6.0,2.1,52.6,,,,,,,,
2011,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),595,182,"5,483","119,800",5.0,1.5,45.8,,,,,,,,
2012,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),460,148,"4,017","113,700",4.0,1.3,35.3,,,,,,,,
2013,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),380,137,"3,370","111,800",3.4,1.2,30.1,,,,,,,,
2014,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),412,149,"2,929","109,300",3.8,1.4,26.8,,,,,,,,
2015,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),423,142,"2,458","108,800",3.9,1.3,22.6,,,,,,,,
2016,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),376,122,"2,314","103,800",3.6,1.2,22.3,,,,,,,,
2017,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),351,120,"1,992","101,500",3.5,1.2,19.6,,,,,,,,
2018,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),321,113,"1,870","98,800",3.3,1.1,18.9,,,,,,,,
2019,Borough,Brooklyn, Brooklyn,2,Children under 6 years with elevated blood lead levels (BLL),272,121,"1,388","99,300",2.7,1.2,14.0,,,,,,,,
2005,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),324,85,"4,851","43,900",7.4,1.9,110.6,,,,,,,,
2006,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),268,92,"4,531","44,600",6.0,2.1,101.7,,,,,,,,
2007,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),203,52,"3,935","44,600",4.5,1.2,88.2,,,,,,,,
2008,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),190,55,"2,428","43,900",4.3,1.3,55.4,,,,,,,,
2009,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),129,39,"1,579","43,300",3.0,0.9,36.4,,,,,,,,
2010,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),133,45,"1,228","45,100",3.0,1.0,27.2,,,,,,,,
2011,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),110,48,992,"44,700",2.5,1.1,22.2,,,,,,,,
2012,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),79,32,654,"42,700",1.8,0.7,15.3,,,,,,,,
2013,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),68,27,622,"41,100",1.7,0.7,15.1,,,,,,,,
2014,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),68,20,539,"38,400",1.8,0.5,14.0,,,,,,,,
2015,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),59,19,399,"37,500",1.6,0.5,10.6,,,,,,,,
2016,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),46,22,289,"35,800",1.3,0.6,8.1,,,,,,,,
2017,Borough,Manhattan, Manhattan,3,Children under 6 years with elevated blood lead levels (BLL),50,18,256,"33,500",1.5,0.5,7.7,,,,,,,,
